pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_rade,pl_bmasse,st_teff,st_rad,sy_dist
"TOI-6894 b","TOI-6894",2025,"Transit",3.37077196000,9.58367850,53.39517238,3007.00,0.227600,73.81310000
"TOI-2969 b","TOI-2969",2025,"Transit",1.82371460000,12.32987877,368.68095212,4738.00,0.700000,163.99600000
"TOI-2989 b","TOI-2989",2025,"Transit",3.12283200000,12.55405838,953.48522100,4672.00,0.760000,195.79500000
"TOI-5300 b","TOI-5300",2025,"Transit",2.26219600000,9.86390302,190.69704420,4610.00,0.650000,162.51000000
"TOI-2407 b","TOI-2407",2025,"Transit",2.70296900000,4.26000000,,3530.00,0.567000,92.43660000
"Kepler-725 c","Kepler-725",2025,"Transit Timing Variations",207.54100000000,,9.70000000,5395.00,0.880000,758.46900000
"TOI-1117 b","TOI-1117",2025,"Transit",2.22816000000,2.46000000,8.90000000,5635.00,1.050000,167.59800000
"TOI-1117 c","TOI-1117",2025,"Radial Velocity",4.57900000000,,8.78000000,5635.00,1.050000,167.59800000
"TOI-1117 d","TOI-1117",2025,"Radial Velocity",8.66500000000,,10.71000000,5635.00,1.050000,167.59800000
"TOI-5882 b","TOI-5882",2025,"Transit",7.14897200000,11.46678726,6995.40323807,5920.00,2.260000,416.10400000
"TOI-4465 b","TOI-4465",2025,"Transit",101.94054000000,14.01122587,1872.00931723,5545.00,1.014000,121.13900000
"TOI-1846 b","TOI-1846",2025,"Transit",3.93067370000,1.79200000,,3568.00,0.397000,47.24960000
"TIC 88785435 b","TIC 88785435",2025,"Transit",10.50884300000,5.03000000,,3998.00,0.911000,122.38600000
"TOI-5800 b","TOI-5800",2025,"Transit",2.62788380000,2.46000000,9.50000000,4850.00,0.773000,42.90520000
"TWA 7 b","TWA 7",2025,"Imaging",,,108.06165838,,,33.99580000
"KOI-134 b","KOI-134",2025,"Transit",67.12770000000,12.03844527,346.43296363,6160.00,1.667000,1159.21000000
"KOI-134 c","KOI-134",2025,"Transit Timing Variations",33.95000000000,,69.92224954,6160.00,1.667000,1159.21000000
"TOI-2346 b","TOI-2346",2025,"Transit",3.33120290000,16.11851425,394.10722468,6480.00,1.380000,437.48400000
"TOI-2382 b","TOI-2382",2025,"Transit",4.66120610000,12.25141591,235.19302118,6033.00,1.417000,434.92000000
"TOI-2876 b","TOI-2876",2025,"Transit",6.29964310000,9.63972340,54.03082919,5271.00,0.873000,225.74400000
"TOI-2886 b","TOI-2886",2025,"Transit",1.60200105000,18.64053490,444.95976980,6240.00,1.241000,413.67300000
"TOI-2986 b","TOI-2986",2025,"Transit",3.27836620000,9.29224500,96.61983573,5906.00,1.458000,563.14900000
"TOI-2992 b","TOI-2992",2025,"Transit",3.00781200000,13.75341932,1058.36859531,6000.00,1.545000,542.02600000
